,Dir(DegT),Speed(m/s)
2012-08-05,86.6,0.6
2012-08-06,137.2,0.8400000000000001
2012-08-07,46.2,2.32
2012-08-08,332.6,3.9
2012-08-09,277.2,2.8999999999999995
2012-08-10,177.0,1.02
2012-08-11,61.6,2.9400000000000004
2012-08-12,27.6,4.92
2012-08-13,242.2,4.12
2012-08-14,217.2,2.6599999999999997
2012-08-15,42.8,3.8
2012-08-16,287.8,4.6
2012-08-17,324.8,1.6
2012-08-18,311.4,2.96
2012-08-19,29.8,3.08
2012-08-20,330.8,2.56
2012-08-21,268.0,6.82
2012-08-22,213.4,3.0999999999999996
2012-08-23,138.8,0.7
2012-08-24,118.6,1.04
2012-08-25,75.4,2.3
2012-08-26,26.2,2.2800000000000002
2012-08-27,12.6,4.7
2012-08-28,239.0,3.9200000000000004
2012-08-29,173.0,0.8
2012-08-30,144.2,3.56
2012-08-31,132.2,2.22
2012-09-01,76.8,2.34
2012-09-02,34.4,7.980000000000001
2012-09-03,44.4,8.620000000000001
2012-09-04,263.2,7.76
2012-09-05,234.0,12.280000000000001
2012-09-06,293.6,3.3600000000000003
2012-09-07,317.2,3.0
2012-09-08,82.8,3.38
2012-09-09,303.6,4.2
2012-09-10,256.6,7.9799999999999995
2012-09-11,266.2,7.719999999999999
2012-09-12,197.8,4.8
2012-09-13,133.6,0.54
2012-09-14,317.6,2.4999999999999996
2012-09-15,26.2,6.44
2012-09-16,46.0,2.9
2012-09-17,333.2,3.78
2012-09-18,223.4,5.1
2012-09-19,153.4,0.7000000000000001
2012-09-20,220.4,1.5000000000000002
2012-09-21,116.8,2.1399999999999997
2012-09-22,86.8,2.04
2012-09-23,100.8,2.24
2012-09-24,74.0,3.04
2012-09-25,64.8,4.0
2012-09-26,42.4,5.42
2012-09-27,59.8,3.5
2012-09-28,156.4,3.78
2012-09-29,155.6,2.7199999999999998
2012-09-30,260.4,3.1399999999999997
2012-10-01,232.6,3.9400000000000004
2012-10-02,256.8,8.580000000000002
2012-10-03,245.0,7.779999999999999
2012-10-04,279.4,6.220000000000001
2012-10-05,252.6,5.3999999999999995
2012-10-06,278.6,9.02
2012-10-07,224.0,8.319999999999999
2012-10-08,28.8,7.8
2012-10-09,323.8,2.46
2012-10-10,108.6,1.1600000000000001
2012-10-11,222.4,5.539999999999999
2012-10-12,155.0,1.36
2012-10-13,21.4,9.06
2012-10-14,261.8,10.76
2012-10-15,235.2,10.080000000000002
2012-10-16,233.8,10.16
2012-10-17,257.6,6.0200000000000005
2012-10-18,312.8,7.18
2012-10-19,240.2,13.62
2012-10-20,244.4,5.36
2012-10-21,331.6,4.92
2012-10-22,268.2,7.9799999999999995
2012-10-23,129.2,2.1399999999999997
2012-10-24,103.2,1.7
2012-10-25,182.0,1.02
2012-10-26,203.8,2.56
2012-10-27,98.4,0.8800000000000001
2012-10-28,269.2,2.0200000000000005
2012-10-29,242.8,5.359999999999999
2012-10-30,141.6,3.5200000000000005
2012-10-31,215.4,5.0200000000000005
2012-11-01,220.6,4.1
2012-11-02,139.4,1.3
2012-11-03,81.8,4.140000000000001
2012-11-04,215.2,9.620000000000001
2012-11-05,221.0,5.3
2012-11-06,163.0,2.02
2012-11-07,91.8,1.3800000000000001
2012-11-08,124.8,1.1800000000000002
2012-11-09,309.8,1.3599999999999999
2012-11-10,210.4,4.66
2012-11-11,344.2,2.06
2012-11-12,242.4,2.7
2012-11-13,181.6,1.9
2012-11-14,227.6,8.7
2012-11-15,79.4,3.3200000000000003
2012-11-16,239.6,7.32
2012-11-17,80.8,3.88
2012-11-18,265.8,9.7
2012-11-19,258.0,4.16
2012-11-20,130.8,1.9200000000000004
2012-11-21,190.0,1.72
2012-11-22,111.8,2.48
2012-11-23,85.0,1.3000000000000003
2012-11-24,215.8,4.96
2012-11-25,215.0,5.279999999999999
2012-11-26,234.2,7.5600000000000005
2012-11-27,223.4,7.720000000000001
2012-11-28,237.8,6.94
2012-11-29,225.4,3.6399999999999997
2012-11-30,230.8,11.28
2012-12-01,219.8,4.0200000000000005
2012-12-02,270.4,5.68
2012-12-03,240.4,9.02
2012-12-04,97.8,1.44
2012-12-05,33.2,5.14
2012-12-06,43.0,4.58
2012-12-07,304.8,5.14
2012-12-08,247.2,7.220000000000001
2012-12-09,156.4,2.02
2012-12-10,154.6,1.7799999999999998
2012-12-11,201.2,3.9
2012-12-12,149.6,1.08
2012-12-13,32.2,3.66
2012-12-14,38.8,2.88
2012-12-15,144.2,0.9800000000000001
2012-12-16,70.6,2.7
2012-12-17,41.0,4.84
2012-12-18,29.4,5.42
2012-12-19,296.2,2.12
2012-12-20,190.8,1.92
2012-12-21,47.4,3.5799999999999996
2012-12-22,104.8,1.4
2012-12-23,150.6,2.84
2012-12-24,118.2,4.4
2012-12-25,62.0,6.739999999999999
2012-12-26,27.8,7.279999999999999
2012-12-27,304.6,3.34
2012-12-28,29.8,3.6399999999999997
2012-12-29,173.6,1.18
2012-12-30,24.0,4.4
2012-12-31,232.8,9.040000000000001
2013-01-01,258.4,4.86
2013-01-02,267.8,2.04
2013-01-03,245.8,5.16
2013-01-04,210.8,6.3
2013-01-05,163.2,2.58
2013-01-06,172.4,2.8600000000000003
2013-01-07,234.6,5.9399999999999995
2013-01-08,232.2,10.28
2013-01-09,298.6,1.8
2013-01-10,152.2,1.44
2013-01-11,300.4,3.02
2013-01-12,212.2,1.64
2013-01-13,175.0,1.3
2013-01-14,337.2,3.4799999999999995
2013-01-15,150.4,4.859999999999999
2013-01-16,248.2,9.1
2013-01-17,271.2,5.52
2013-01-18,225.6,8.34
2013-01-19,217.0,4.6
2013-01-20,268.8,4.42
2013-01-21,206.0,6.279999999999999
2013-01-22,69.4,3.5800000000000005
2013-01-23,57.4,3.7600000000000002
2013-01-24,97.2,1.8399999999999999
2013-01-25,98.2,2.54
2013-01-26,116.0,2.66
2013-01-27,126.8,4.0
2013-01-28,131.6,2.1799999999999997
2013-01-29,101.2,1.28
2013-01-30,79.0,2.6
2013-01-31,113.4,2.34
2013-02-01,125.4,2.5599999999999996
2013-02-02,99.6,2.78
2013-02-03,73.0,2.8
2013-02-04,30.4,7.4799999999999995
2013-02-05,222.4,8.3
2013-02-06,162.2,2.7
2013-02-07,111.2,1.3
2013-02-08,128.0,0.62
2013-02-09,157.2,1.52
2013-02-10,178.2,2.86
2013-02-11,157.0,0.74
2013-02-12,143.0,0.78
2013-02-13,317.6,2.6
2013-02-14,207.8,4.6
2013-02-15,215.8,6.08
2013-02-16,208.6,5.08
2013-02-17,207.8,4.02
2013-02-18,211.8,0.9400000000000001
2013-02-19,218.6,1.1
2013-02-20,107.8,2.04
2013-02-21,138.0,1.1800000000000002
2013-02-22,89.6,1.34
2013-02-23,122.2,1.6599999999999997
2013-02-24,156.2,1.0
2013-02-25,98.2,1.78
2013-02-26,120.6,1.6
2013-02-27,132.25,2.7750000000000004
2013-02-28,116.6,0.8
2013-03-01,222.2,6.640000000000001
2013-03-02,269.0,0.96
2013-03-03,335.4,1.7399999999999998
2013-03-04,221.6,5.459999999999999
2013-03-05,118.4,1.8
2013-03-06,126.4,0.7
2013-03-07,147.0,1.64
2013-03-08,130.8,0.76
2013-03-09,134.2,1.08
2013-03-10,158.8,0.9800000000000001
2013-03-11,137.8,0.7
2013-03-12,171.2,0.82
2013-03-13,327.4,1.3599999999999999
2013-03-14,110.6,0.76
2013-03-15,73.0,1.78
2013-03-16,93.2,1.86
2013-03-17,43.0,5.9399999999999995
2013-03-18,290.2,6.040000000000001
2013-03-19,249.6,10.920000000000002
2013-03-20,192.4,3.04
2013-03-21,98.8,0.76
2013-03-22,100.4,1.32
2013-03-23,133.0,0.72
2013-03-24,100.2,1.26
2013-03-25,157.8,0.68
2013-03-26,126.8,0.6599999999999999
2013-03-27,174.2,0.6399999999999999
2013-03-28,259.0,0.9199999999999999
2013-03-29,97.4,1.2999999999999998
2013-03-30,63.6,1.18
2013-03-31,72.6,2.04
2013-04-01,236.8,2.0
2013-04-02,83.4,0.8400000000000001
2013-04-03,207.6,1.54
